fecha_hecho,anio_hecho_i,mes_hecho_num,dia_semana,hora_hecho_h,mes_hecho_num_sin,mes_hecho_num_cos,hora_hecho_h_sin,hora_hecho_h_cos,latitud,longitud,alcaldia_hecho,colonia_catalogo,categoria_delito
2020-03-20,2020.0,3.0,VIERNES,12.0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,19.3116516220464,-99.2260354549496,LA MAGDALENA CONTRERAS,Santa Teresa,DELITO DE BAJO IMPACTO
2023-01-12,2023.0,1.0,JUEVES,15.0,0.0,1.0,-0.7071067811865475,-0.7071067811865477,19.3198788006698,-99.0625490203632,IZTAPALAPA,Lomas De San Lorenzo,DELITO DE BAJO IMPACTO
2023-09-14,2023.0,9.0,JUEVES,10.0,-0.8660254037844384,-0.5000000000000004,0.49999999999999994,-0.8660254037844387,19.4319475011396,-99.1343194898505,CUAUHTEMOC,Centro,DELITO DE BAJO IMPACTO
2024-07-07,2024.0,7.0,DOMINGO,2.0,1.2246467991473532e-16,-1.0,0.49999999999999994,0.8660254037844387,19.3552694898335,-99.1097178299999,IZTAPALAPA,Minerva,DELITO DE BAJO IMPACTO
2019-10-04,2019.0,10.0,VIERNES,12.0,-1.0,-1.8369701987210297e-16,1.2246467991473532e-16,-1.0,19.36448,-99.1394,BENITO JUAREZ,Portales Oriente,DELITO DE BAJO IMPACTO
2016-03-30,2016.0,3.0,MIÉRCOLES,12.0,0.8660254037844386,0.5000000000000001,1.2246467991473532e-16,-1.0,19.44366,-99.14928,CUAUHTEMOC,Buenavista,DELITO DE BAJO IMPACTO
2021-08-23,2021.0,8.0,LUNES,18.0,-0.5000000000000001,-0.8660254037844386,-1.0,-1.8369701987210297e-16,19.5249487889495,-99.1649112723893,GUSTAVO A. MADERO,San Jose De La Escalera,DELITO DE BAJO IMPACTO
2018-08-30,2018.0,8.0,JUEVES,6.0,-0.5000000000000001,-0.8660254037844386,1.0,6.123233995736766e-17,19.57105,-99.13461,GUSTAVO A. MADERO,Lomas De Cuautepec,DELITO DE BAJO IMPACTO
2021-02-05,2021.0,2.0,VIERNES,13.0,0.49999999999999994,0.8660254037844387,-0.25881904510252035,-0.9659258262890684,19.4911,-99.09659,GUSTAVO A. MADERO,Vasco De Quiroga,HOMICIDIO DOLOSO
2021-10-22,2021.0,10.0,VIERNES,20.0,-1.0,-1.8369701987210297e-16,-0.8660254037844386,0.5000000000000001,19.25689,-99.08146,XOCHIMILCO,Barrio Caltongo,DELITO DE BAJO IMPACTO
2019-01-15,2019.0,1.0,MARTES,8.0,0.0,1.0,0.8660254037844387,-0.4999999999999998,19.345455089165,-99.1843468208466,ALVARO OBREGON,Chimalistac,DELITO DE BAJO IMPACTO
2018-05-03,2018.0,5.0,JUEVES,19.0,0.8660254037844387,-0.4999999999999998,-0.9659258262890684,0.2588190451025203,19.42187,-99.21217,MIGUEL HIDALGO,Lomas De Chapultepec V Seccion,DELITO DE BAJO IMPACTO
2019-12-16,2019.0,12.0,LUNES,19.0,-0.5000000000000004,0.8660254037844384,-0.9659258262890684,0.2588190451025203,19.43123,-99.14659,CUAUHTEMOC,Centro,DELITO DE BAJO IMPACTO
